estado,data,casos
AC,2024-01-08,6620.0
AC,2024-01-15,4970.0
AC,2024-01-22,4630.0
AC,2024-01-29,3560.0
AC,2024-02-05,2550.0
AC,2024-02-12,1870.0
AC,2024-02-19,1390.0
AC,2024-02-26,1410.0
AC,2024-03-04,1230.0
AC,2024-03-11,1210.0
AC,2024-03-18,1160.0
AC,2024-03-25,740.0
AC,2024-04-01,920.0
AC,2024-04-08,780.0
AC,2024-04-15,800.0
AC,2024-04-22,940.0
AC,2024-04-29,720.0
AC,2024-05-06,620.0
AC,2024-05-13,510.0
AC,2024-05-20,300.0
AC,2024-05-27,340.0
AC,2024-06-03,380.0
AC,2024-06-10,210.0
AC,2024-06-17,220.0
AC,2024-06-24,200.0
AC,2024-07-01,230.0
AC,2024-07-08,230.0
AC,2024-07-15,210.0
AC,2024-07-22,210.0
AC,2024-07-29,150.0
AC,2024-08-05,240.0
AC,2024-08-12,260.0
AC,2024-08-19,210.0
AC,2024-08-26,180.0
AC,2024-09-02,170.0
AC,2024-09-09,190.0
AC,2024-09-16,290.0
AC,2024-09-23,290.0
AC,2024-09-30,360.0
AC,2024-10-07,640.0
AC,2024-10-14,680.0
AC,2024-10-21,690.0
AC,2024-10-28,880.0
AC,2024-11-04,930.0
AC,2024-11-11,870.0
AC,2024-11-18,1360.0
AC,2024-11-25,1770.0
AC,2024-12-02,1850.0
AC,2024-12-09,2520.0
AC,2024-12-16,3600.0
AC,2024-12-23,4030.0
AC,2024-12-30,1980.0
AC,2025-01-06,4960.0
AC,2025-01-13,5230.0
AC,2025-01-20,5130.0
AL,2024-01-08,650.0
AL,2024-01-15,590.0
AL,2024-01-22,600.0
AL,2024-01-29,680.0
AL,2024-02-05,1170.0
AL,2024-02-12,1430.0
AL,2024-02-19,2520.0
AL,2024-02-26,5030.0
AL,2024-03-04,5590.0
AL,2024-03-11,5110.0
AL,2024-03-18,5220.0
AL,2024-03-25,5520.0
AL,2024-04-01,4330.0
AL,2024-04-08,4780.0
AL,2024-04-15,5670.0
AL,2024-04-22,5310.0
AL,2024-04-29,5090.0
AL,2024-05-06,5370.0
AL,2024-05-13,5300.0
AL,2024-05-20,5920.0
AL,2024-05-27,5410.0
AL,2024-06-03,5540.0
AL,2024-06-10,5900.0
AL,2024-06-17,7150.0
AL,2024-06-24,7190.0
AL,2024-07-01,5960.0
AL,2024-07-08,7280.0
AL,2024-07-15,7800.0
AL,2024-07-22,6530.0
AL,2024-07-29,6320.0
AL,2024-08-05,4610.0
AL,2024-08-12,4240.0
AL,2024-08-19,3960.0
AL,2024-08-26,3060.0
AL,2024-09-02,2990.0
AL,2024-09-09,2460.0
AL,2024-09-16,2360.0
AL,2024-09-23,2360.0
AL,2024-09-30,1770.0
AL,2024-10-07,1520.0
AL,2024-10-14,1340.0
AL,2024-10-21,1170.0
AL,2024-10-28,980.0
AL,2024-11-04,990.0
AL,2024-11-11,880.0
AL,2024-11-18,720.0
AL,2024-11-25,680.0
AL,2024-12-02,510.0
AL,2024-12-09,560.0
AL,2024-12-16,530.0
AL,2024-12-23,530.0
AL,2024-12-30,360.0
AL,2025-01-06,630.0
AL,2025-01-13,710.0
AL,2025-01-20,570.0
AM,2024-01-08,5060.0
AM,2024-01-15,4660.0
AM,2024-01-22,6060.0
AM,2024-01-29,3770.0
AM,2024-02-05,3990.0
AM,2024-02-12,4810.0
AM,2024-02-19,4620.0
AM,2024-02-26,4440.0
AM,2024-03-04,4170.0
AM,2024-03-11,3760.0
AM,2024-03-18,3320.0
AM,2024-03-25,2340.0
AM,2024-04-01,1490.0
AM,2024-04-08,2140.0
AM,2024-04-15,1660.0
AM,2024-04-22,1480.0
AM,2024-04-29,1030.0
AM,2024-05-06,980.0
AM,2024-05-13,900.0
AM,2024-05-20,730.0
AM,2024-05-27,790.0
AM,2024-06-03,590.0
AM,2024-06-10,560.0
AM,2024-06-17,480.0
AM,2024-06-24,430.0
AM,2024-07-01,610.0
AM,2024-07-08,710.0
AM,2024-07-15,650.0
AM,2024-07-22,700.0
AM,2024-07-29,570.0
AM,2024-08-05,610.0
AM,2024-08-12,670.0
AM,2024-08-19,630.0
AM,2024-08-26,690.0
AM,2024-09-02,930.0
AM,2024-09-09,860.0
AM,2024-09-16,1090.0
AM,2024-09-23,740.0
AM,2024-09-30,650.0
AM,2024-10-07,640.0
AM,2024-10-14,850.0
AM,2024-10-21,780.0
AM,2024-10-28,920.0
AM,2024-11-04,1180.0
AM,2024-11-11,940.0
AM,2024-11-18,750.0
AM,2024-11-25,1360.0
AM,2024-12-02,930.0
AM,2024-12-09,1450.0
AM,2024-12-16,1260.0
AM,2024-12-23,990.0
AM,2024-12-30,560.0
AM,2025-01-06,1540.0
AM,2025-01-13,1610.0
AM,2025-01-20,1740.0
AP,2024-01-08,1400.0
AP,2024-01-15,2100.0
AP,2024-01-22,2170.0
AP,2024-01-29,1970.0
AP,2024-02-05,3370.0
AP,2024-02-12,3790.0
AP,2024-02-19,5230.0
AP,2024-02-26,5920.0
AP,2024-03-04,6700.0
AP,2024-03-11,5680.0
AP,2024-03-18,3590.0
AP,2024-03-25,3400.0
AP,2024-04-01,3650.0
AP,2024-04-08,4100.0
AP,2024-04-15,3200.0
AP,2024-04-22,3050.0
AP,2024-04-29,2090.0
AP,2024-05-06,2000.0
AP,2024-05-13,1760.0
AP,2024-05-20,1900.0
AP,2024-05-27,1580.0
AP,2024-06-03,1650.0
AP,2024-06-10,2030.0
AP,2024-06-17,2000.0
AP,2024-06-24,2060.0
AP,2024-07-01,1860.0
AP,2024-07-08,2900.0
AP,2024-07-15,2530.0
AP,2024-07-22,2660.0
AP,2024-07-29,2290.0
AP,2024-08-05,2980.0
AP,2024-08-12,2170.0
AP,2024-08-19,2000.0
AP,2024-08-26,1810.0
AP,2024-09-02,1300.0
AP,2024-09-09,1130.0
AP,2024-09-16,1010.0
AP,2024-09-23,1080.0
AP,2024-09-30,940.0
AP,2024-10-07,970.0
AP,2024-10-14,740.0
AP,2024-10-21,700.0
AP,2024-10-28,520.0
AP,2024-11-04,530.0
AP,2024-11-11,280.0
AP,2024-11-18,470.0
AP,2024-11-25,300.0
AP,2024-12-02,210.0
AP,2024-12-09,230.0
AP,2024-12-16,190.0
AP,2024-12-23,180.0
AP,2024-12-30,70.0
AP,2025-01-06,440.0
AP,2025-01-13,920.0
AP,2025-01-20,840.0
BA,2024-01-08,6560.0
BA,2024-01-15,7830.0
BA,2024-01-22,1015.0
BA,2024-01-29,1468.0
BA,2024-02-05,2687.0
BA,2024-02-12,3902.0
BA,2024-02-19,5673.0
BA,2024-02-26,10311.0
BA,2024-03-04,13992.0
BA,2024-03-11,15546.0
BA,2024-03-18,17439.0
BA,2024-03-25,18612.0
BA,2024-04-01,1698.0
BA,2024-04-08,19549.0
BA,2024-04-15,17721.0
BA,2024-04-22,15739.0
BA,2024-04-29,12402.0
BA,2024-05-06,10913.0
BA,2024-05-13,9667.0
BA,2024-05-20,7493.0
BA,2024-05-27,5749.0
BA,2024-06-03,3824.0
BA,2024-06-10,2931.0
BA,2024-06-17,2227.0
BA,2024-06-24,1561.0
BA,2024-07-01,1363.0
BA,2024-07-08,1262.0
BA,2024-07-15,1116.0
BA,2024-07-22,9650.0
BA,2024-07-29,7460.0
BA,2024-08-05,6870.0
BA,2024-08-12,5990.0
BA,2024-08-19,5400.0
BA,2024-08-26,4680.0
BA,2024-09-02,4080.0
BA,2024-09-09,3870.0
BA,2024-09-16,3960.0
BA,2024-09-23,3400.0
BA,2024-09-30,3250.0
BA,2024-10-07,2440.0
BA,2024-10-14,2800.0
BA,2024-10-21,3000.0
BA,2024-10-28,2900.0
BA,2024-11-04,3050.0
BA,2024-11-11,3320.0
BA,2024-11-18,3070.0
BA,2024-11-25,3650.0
BA,2024-12-02,4040.0
BA,2024-12-09,4230.0
BA,2024-12-16,4300.0
BA,2024-12-23,4040.0
BA,2024-12-30,2190.0
BA,2025-01-06,4750.0
BA,2025-01-13,5650.0
BA,2025-01-20,6730.0
CE,2024-01-08,660.0
CE,2024-01-15,740.0
CE,2024-01-22,1020.0
CE,2024-01-29,1420.0
CE,2024-02-05,1780.0
CE,2024-02-12,1760.0
CE,2024-02-19,2030.0
CE,2024-02-26,2820.0
CE,2024-03-04,4050.0
CE,2024-03-11,4470.0
CE,2024-03-18,4330.0
CE,2024-03-25,4590.0
CE,2024-04-01,4740.0
CE,2024-04-08,7520.0
CE,2024-04-15,8450.0
CE,2024-04-22,7770.0
CE,2024-04-29,6410.0
CE,2024-05-06,6520.0
CE,2024-05-13,5110.0
CE,2024-05-20,4470.0
CE,2024-05-27,4020.0
CE,2024-06-03,3420.0
CE,2024-06-10,3560.0
CE,2024-06-17,3720.0
CE,2024-06-24,2970.0
CE,2024-07-01,2390.0
CE,2024-07-08,2820.0
CE,2024-07-15,2300.0
CE,2024-07-22,1790.0
CE,2024-07-29,1390.0
CE,2024-08-05,1670.0
CE,2024-08-12,1820.0
CE,2024-08-19,1440.0
CE,2024-08-26,1220.0
CE,2024-09-02,900.0
CE,2024-09-09,910.0
CE,2024-09-16,940.0
CE,2024-09-23,810.0
CE,2024-09-30,830.0
CE,2024-10-07,520.0
CE,2024-10-14,610.0
CE,2024-10-21,650.0
CE,2024-10-28,540.0
CE,2024-11-04,350.0
CE,2024-11-11,450.0
CE,2024-11-18,450.0
CE,2024-11-25,790.0
CE,2024-12-02,600.0
CE,2024-12-09,470.0
CE,2024-12-16,350.0
CE,2024-12-23,380.0
CE,2024-12-30,80.0
CE,2025-01-06,230.0
CE,2025-01-13,510.0
CE,2025-01-20,700.0
DF,2024-01-08,8232.0
DF,2024-01-15,8502.0
DF,2024-01-22,12759.0
DF,2024-01-29,18867.0
DF,2024-02-05,22124.0
DF,2024-02-12,21655.0
DF,2024-02-19,21443.0
DF,2024-02-26,23123.0
DF,2024-03-04,21757.0
DF,2024-03-11,19022.0
DF,2024-03-18,17135.0
DF,2024-03-25,15291.0
DF,2024-04-01,10206.0
DF,2024-04-08,10447.0
DF,2024-04-15,9485.0
DF,2024-04-22,7331.0
DF,2024-04-29,5512.0
DF,2024-05-06,4332.0
DF,2024-05-13,358.0
DF,2024-05-20,3126.0
DF,2024-05-27,2758.0
DF,2024-06-03,1955.0
DF,2024-06-10,1339.0
DF,2024-06-17,8510.0
DF,2024-06-24,5670.0
DF,2024-07-01,2860.0
DF,2024-07-08,3280.0
DF,2024-07-15,2830.0
DF,2024-07-22,2080.0
DF,2024-07-29,2120.0
DF,2024-08-05,2410.0
DF,2024-08-12,2290.0
DF,2024-08-19,2500.0
DF,2024-08-26,2200.0
DF,2024-09-02,1840.0
DF,2024-09-09,1750.0
DF,2024-09-16,1870.0
DF,2024-09-23,1730.0
DF,2024-09-30,1970.0
DF,2024-10-07,1810.0
DF,2024-10-14,1680.0
DF,2024-10-21,1550.0
DF,2024-10-28,2020.0
DF,2024-11-04,2390.0
DF,2024-11-11,3340.0
DF,2024-11-18,3160.0
DF,2024-11-25,4720.0
DF,2024-12-02,3590.0
DF,2024-12-09,4030.0
DF,2024-12-16,3360.0
DF,2024-12-23,2980.0
DF,2024-12-30,1430.0
DF,2025-01-06,2910.0
DF,2025-01-13,3310.0
DF,2025-01-20,2870.0
ES,2024-01-08,1146.0
ES,2024-01-15,1415.0
ES,2024-01-22,2007.0
ES,2024-01-29,2466.0
ES,2024-02-05,3459.0
ES,2024-02-12,4304.0
ES,2024-02-19,6142.0
ES,2024-02-26,8514.0
ES,2024-03-04,10626.0
ES,2024-03-11,11199.0
ES,2024-03-18,11689.0
ES,2024-03-25,10721.0
ES,2024-04-01,8309.0
ES,2024-04-08,859.0
ES,2024-04-15,7228.0
ES,2024-04-22,6557.0
ES,2024-04-29,5359.0
ES,2024-05-06,4566.0
ES,2024-05-13,4656.0
ES,2024-05-20,4067.0
ES,2024-05-27,3238.0
ES,2024-06-03,2179.0
ES,2024-06-10,1722.0
ES,2024-06-17,1954.0
ES,2024-06-24,1694.0
ES,2024-07-01,144.0
ES,2024-07-08,1258.0
ES,2024-07-15,9790.0
ES,2024-07-22,8900.0
ES,2024-07-29,8110.0
ES,2024-08-05,6680.0
ES,2024-08-12,6040.0
ES,2024-08-19,5470.0
ES,2024-08-26,5420.0
ES,2024-09-02,4990.0
ES,2024-09-09,5050.0
ES,2024-09-16,4350.0
ES,2024-09-23,4560.0
ES,2024-09-30,4700.0
ES,2024-10-07,5090.0
ES,2024-10-14,4420.0
ES,2024-10-21,5810.0
ES,2024-10-28,6630.0
ES,2024-11-04,6100.0
ES,2024-11-11,8110.0
ES,2024-11-18,8550.0
ES,2024-11-25,121.0
ES,2024-12-02,1418.0
ES,2024-12-09,163.0
ES,2024-12-16,1833.0
ES,2024-12-23,2153.0
ES,2024-12-30,1894.0
ES,2025-01-06,1702.0
ES,2025-01-13,1874.0
ES,2025-01-20,1928.0
GO,2024-01-08,3527.0
GO,2024-01-15,3898.0
GO,2024-01-22,514.0
GO,2024-01-29,791.0
GO,2024-02-05,1166.0
GO,2024-02-12,13188.0
GO,2024-02-19,14999.0
GO,2024-02-26,17267.0
GO,2024-03-04,17801.0
GO,2024-03-11,17399.0
GO,2024-03-18,18424.0
GO,2024-03-25,1781.0
GO,2024-04-01,14491.0
GO,2024-04-08,1771.0
GO,2024-04-15,18162.0
GO,2024-04-22,18201.0
GO,2024-04-29,16493.0
GO,2024-05-06,1588.0
GO,2024-05-13,14183.0
GO,2024-05-20,11539.0
GO,2024-05-27,9013.0
GO,2024-06-03,6214.0
GO,2024-06-10,5237.0
GO,2024-06-17,4414.0
GO,2024-06-24,3268.0
GO,2024-07-01,2531.0
GO,2024-07-08,2324.0
GO,2024-07-15,1656.0
GO,2024-07-22,1301.0
GO,2024-07-29,122.0
GO,2024-08-05,1263.0
GO,2024-08-12,9830.0
GO,2024-08-19,9400.0
GO,2024-08-26,8510.0
GO,2024-09-02,7350.0
GO,2024-09-09,7470.0
GO,2024-09-16,7490.0
GO,2024-09-23,6660.0
GO,2024-09-30,5690.0
GO,2024-10-07,5780.0
GO,2024-10-14,6420.0
GO,2024-10-21,6440.0
GO,2024-10-28,7750.0
GO,2024-11-04,8890.0
GO,2024-11-11,9910.0
GO,2024-11-18,1139.0
GO,2024-11-25,1489.0
GO,2024-12-02,1508.0
GO,2024-12-09,1748.0
GO,2024-12-16,1592.0
GO,2024-12-23,1351.0
GO,2024-12-30,6570.0
GO,2025-01-06,1703.0
GO,2025-01-13,2456.0
GO,2025-01-20,2491.0
MA,2024-01-08,630.0
MA,2024-01-15,870.0
MA,2024-01-22,880.0
MA,2024-01-29,820.0
MA,2024-02-05,1300.0
MA,2024-02-12,2220.0
MA,2024-02-19,4080.0
MA,2024-02-26,6210.0
MA,2024-03-04,7600.0
MA,2024-03-11,8260.0
MA,2024-03-18,9590.0
MA,2024-03-25,1098.0
MA,2024-04-01,7680.0
MA,2024-04-08,8640.0
MA,2024-04-15,8000.0
MA,2024-04-22,6890.0
MA,2024-04-29,4700.0
MA,2024-05-06,4040.0
MA,2024-05-13,3410.0
MA,2024-05-20,2450.0
MA,2024-05-27,2220.0
MA,2024-06-03,1420.0
MA,2024-06-10,1130.0
MA,2024-06-17,1040.0
MA,2024-06-24,1080.0
MA,2024-07-01,670.0
MA,2024-07-08,520.0
MA,2024-07-15,470.0
MA,2024-07-22,290.0
MA,2024-07-29,350.0
MA,2024-08-05,310.0
MA,2024-08-12,360.0
MA,2024-08-19,270.0
MA,2024-08-26,270.0
MA,2024-09-02,320.0
MA,2024-09-09,230.0
MA,2024-09-16,270.0
MA,2024-09-23,270.0
MA,2024-09-30,190.0
MA,2024-10-07,190.0
MA,2024-10-14,160.0
MA,2024-10-21,230.0
MA,2024-10-28,190.0
MA,2024-11-04,320.0
MA,2024-11-11,220.0
MA,2024-11-18,300.0
MA,2024-11-25,310.0
MA,2024-12-02,260.0
MA,2024-12-09,280.0
MA,2024-12-16,330.0
MA,2024-12-23,140.0
MA,2024-12-30,110.0
MA,2025-01-06,280.0
MA,2025-01-13,530.0
MA,2025-01-20,750.0
MG,2024-01-08,16964.0
MG,2024-01-15,21901.0
MG,2024-01-22,33499.0
MG,2024-01-29,5052.0
MG,2024-02-05,69595.0
MG,2024-02-12,8371.0
MG,2024-02-19,96798.0
MG,2024-02-26,120058.0
MG,2024-03-04,126397.0
MG,2024-03-11,127009.0
MG,2024-03-18,12815.0
MG,2024-03-25,130964.0
MG,2024-04-01,99486.0
MG,2024-04-08,102507.0
MG,2024-04-15,93993.0
MG,2024-04-22,73924.0
MG,2024-04-29,58601.0
MG,2024-05-06,53564.0
MG,2024-05-13,44405.0
MG,2024-05-20,34325.0
MG,2024-05-27,25889.0
MG,2024-06-03,15098.0
MG,2024-06-10,10355.0
MG,2024-06-17,7541.0
MG,2024-06-24,5293.0
MG,2024-07-01,3739.0
MG,2024-07-08,2813.0
MG,2024-07-15,1969.0
MG,2024-07-22,1606.0
MG,2024-07-29,1094.0
MG,2024-08-05,1021.0
MG,2024-08-12,8480.0
MG,2024-08-19,8010.0
MG,2024-08-26,9140.0
MG,2024-09-02,7140.0
MG,2024-09-09,8190.0
MG,2024-09-16,7810.0
MG,2024-09-23,8730.0
MG,2024-09-30,8550.0
MG,2024-10-07,8910.0
MG,2024-10-14,8490.0
MG,2024-10-21,8460.0
MG,2024-10-28,1016.0
MG,2024-11-04,1119.0
MG,2024-11-11,1345.0
MG,2024-11-18,1527.0
MG,2024-11-25,199.0
MG,2024-12-02,2221.0
MG,2024-12-09,2462.0
MG,2024-12-16,2603.0
MG,2024-12-23,2229.0
MG,2024-12-30,1005.0
MG,2025-01-06,2634.0
MG,2025-01-13,3698.0
MG,2025-01-20,4906.0
MS,2024-01-08,2000.0
MS,2024-01-15,2680.0
MS,2024-01-22,3900.0
MS,2024-01-29,4750.0
MS,2024-02-05,4530.0
MS,2024-02-12,5630.0
MS,2024-02-19,8150.0
MS,2024-02-26,8170.0
MS,2024-03-04,8650.0
MS,2024-03-11,1018.0
MS,2024-03-18,1186.0
MS,2024-03-25,1183.0
MS,2024-04-01,1007.0
MS,2024-04-08,1073.0
MS,2024-04-15,1158.0
MS,2024-04-22,9480.0
MS,2024-04-29,9250.0
MS,2024-05-06,9650.0
MS,2024-05-13,1034.0
MS,2024-05-20,8720.0
MS,2024-05-27,4990.0
MS,2024-06-03,2760.0
MS,2024-06-10,2350.0
MS,2024-06-17,3260.0
MS,2024-06-24,2420.0
MS,2024-07-01,1390.0
MS,2024-07-08,830.0
MS,2024-07-15,460.0
MS,2024-07-22,370.0
MS,2024-07-29,430.0
MS,2024-08-05,510.0
MS,2024-08-12,280.0
MS,2024-08-19,270.0
MS,2024-08-26,300.0
MS,2024-09-02,240.0
MS,2024-09-09,160.0
MS,2024-09-16,230.0
MS,2024-09-23,400.0
MS,2024-09-30,360.0
MS,2024-10-07,340.0
MS,2024-10-14,370.0
MS,2024-10-21,360.0
MS,2024-10-28,300.0
MS,2024-11-04,380.0
MS,2024-11-11,390.0
MS,2024-11-18,320.0
MS,2024-11-25,400.0
MS,2024-12-02,400.0
MS,2024-12-09,420.0
MS,2024-12-16,730.0
MS,2024-12-23,590.0
MS,2024-12-30,350.0
MS,2025-01-06,1350.0
MS,2025-01-13,1980.0
MS,2025-01-20,2610.0
MT,2024-01-08,5540.0
MT,2024-01-15,6140.0
MT,2024-01-22,8730.0
MT,2024-01-29,1028.0
MT,2024-02-05,1294.0
MT,2024-02-12,1501.0
MT,2024-02-19,1644.0
MT,2024-02-26,1903.0
MT,2024-03-04,1795.0
MT,2024-03-11,1551.0
MT,2024-03-18,167.0
MT,2024-03-25,1633.0
MT,2024-04-01,1329.0
MT,2024-04-08,1856.0
MT,2024-04-15,1825.0
MT,2024-04-22,2056.0
MT,2024-04-29,2025.0
MT,2024-05-06,2322.0
MT,2024-05-13,2269.0
MT,2024-05-20,1805.0
MT,2024-05-27,1419.0
MT,2024-06-03,8140.0
MT,2024-06-10,9840.0
MT,2024-06-17,8470.0
MT,2024-06-24,8330.0
MT,2024-07-01,5740.0
MT,2024-07-08,5780.0
MT,2024-07-15,3880.0
MT,2024-07-22,2610.0
MT,2024-07-29,2990.0
MT,2024-08-05,2800.0
MT,2024-08-12,2170.0
MT,2024-08-19,1590.0
MT,2024-08-26,1460.0
MT,2024-09-02,1400.0
MT,2024-09-09,1450.0
MT,2024-09-16,1110.0
MT,2024-09-23,1370.0
MT,2024-09-30,750.0
MT,2024-10-07,950.0
MT,2024-10-14,810.0
MT,2024-10-21,810.0
MT,2024-10-28,950.0
MT,2024-11-04,1100.0
MT,2024-11-11,1280.0
MT,2024-11-18,1680.0
MT,2024-11-25,2200.0
MT,2024-12-02,2700.0
MT,2024-12-09,4160.0
MT,2024-12-16,4920.0
MT,2024-12-23,5770.0
MT,2024-12-30,3440.0
MT,2025-01-06,1011.0
MT,2025-01-13,1571.0
MT,2025-01-20,2038.0
PA,2024-01-08,1870.0
PA,2024-01-15,2410.0
PA,2024-01-22,3250.0
PA,2024-01-29,3940.0
PA,2024-02-05,6110.0
PA,2024-02-12,6830.0
PA,2024-02-19,106.0
PA,2024-02-26,1135.0
PA,2024-03-04,1217.0
PA,2024-03-11,1146.0
PA,2024-03-18,1164.0
PA,2024-03-25,1122.0
PA,2024-04-01,9450.0
PA,2024-04-08,1069.0
PA,2024-04-15,8770.0
PA,2024-04-22,8530.0
PA,2024-04-29,6750.0
PA,2024-05-06,5530.0
PA,2024-05-13,5300.0
PA,2024-05-20,4340.0
PA,2024-05-27,3510.0
PA,2024-06-03,2710.0
PA,2024-06-10,3370.0
PA,2024-06-17,3380.0
PA,2024-06-24,2880.0
